Time (s),SMU 1 V,SMU 1 I,SMU 1 R,SMU 2 V,SMU 2 I,SMU 2 R
19.698165,-4.24147e-05,8.58307e-11,-494167,0.0999695,4.1064e-08,2.43448e+06
19.808211,5.99989,8.46386e-11,7.08883e+10,0.0999672,2.30129e-07,434397
19.918257,5.99968,8.46386e-11,7.08859e+10,0.0999667,2.17912e-07,458748
20.028303,5.99958,8.10623e-11,7.4012e+10,0.0999677,2.12692e-07,470011
20.138348,5.99957,8.22544e-11,7.29392e+10,0.0999671,2.08863e-07,478625
20.248394,-6.68764e-05,6.67572e-11,-1.00179e+06,0.0999657,3.06046e-08,3.26636e+06
20.358439,-5.04494e-05,8.9407e-11,-564267,0.0999648,3.45385e-08,2.8943e+06
20.468485,-4.86612e-05,8.34465e-11,-583143,0.0999641,3.61979e-08,2.7616e+06
20.578531,-4.89473e-05,8.34465e-11,-586571,0.0999632,3.73709e-08,2.67489e+06
20.688577,-5.16653e-05,8.10623e-11,-637353,0.09996,3.8023e-08,2.62894e+06
20.798623,-4.94957e-05,8.34465e-11,-593143,0.0999624,3.86989e-08,2.58308e+06
20.908669,-4.99487e-05,8.22544e-11,-607246,0.0999636,3.93021e-08,2.54347e+06
21.018714,-5.01633e-05,8.9407e-11,-561067,0.0999646,3.9748e-08,2.51496e+06
21.128759,-5.04494e-05,8.10623e-11,-622353,0.0999635,4.01056e-08,2.49251e+06
21.238805,-5.07832e-05,8.46386e-11,-600000,0.0999645,4.05633e-08,2.4644e+06
21.348850,5.9998,7.7486e-11,7.74307e+10,0.0999647,2.28686e-07,437126
21.458895,5.99959,7.7486e-11,7.7428e+10,0.0999646,2.16504e-07,461721
21.568941,5.99951,7.27177e-11,8.25042e+10,0.0999645,2.10963e-07,473847
21.678987,5.99951,7.62939e-11,7.86368e+10,0.099966,2.07371e-07,482065
21.789033,-7.4482e-05,5.72205e-11,-1.30167e+06,0.0999665,3.01194e-08,3.31901e+06
21.899078,-5.73874e-05,8.58307e-11,-668611,0.0999674,3.40331e-08,2.93736e+06
22.009123,-5.00917e-05,7.51018e-11,-666984,0.0999695,3.57854e-08,2.79358e+06
22.119169,-5.04255e-05,8.34465e-11,-604286,0.0999685,3.68786e-08,2.71075e+06
22.229215,-5.11169e-05,7.27177e-11,-702951,0.0999683,3.76284e-08,2.65672e+06
22.339261,-5.21421e-05,8.82149e-11,-591081,0.0999675,3.811e-08,2.62313e+06
22.449307,-5.05924e-05,7.7486e-11,-652923,0.0999663,3.86918e-08,2.58366e+06
22.559353,-5.00202e-05,8.9407e-11,-559467,0.0999646,3.91102e-08,2.55597e+06
22.669398,-4.81844e-05,7.51018e-11,-641587,0.0999632,3.95417e-08,2.52804e+06
22.779443,-5.15461e-05,8.34465e-11,-617714,0.0999632,3.99446e-08,2.50254e+06
22.889489,5.9998,7.51018e-11,7.98888e+10,0.0999621,2.27566e-07,439267
22.999535,5.99961,7.86781e-11,7.62551e+10,0.0999614,2.15932e-07,462930
23.109580,5.99948,6.91414e-11,8.67711e+10,0.0999621,2.10444e-07,475006
23.219625,5.99947,7.62939e-11,7.86362e+10,0.0999615,2.06783e-07,483413
23.329670,-7.82728e-05,6.31809e-11,-1.23887e+06,0.0999617,2.985e-08,3.3488e+06
23.439716,-6.24895e-05,8.82149e-11,-708378,0.0999628,3.36242e-08,2.97294e+06
23.549761,-5.6386e-05,7.62939e-11,-739063,0.0999631,3.53527e-08,2.8276e+06
23.659807,-5.84602e-05,8.82149e-11,-662703,0.0999626,3.64101e-08,2.74546e+06
23.769853,-5.84364e-05,6.91414e-11,-845172,0.0999668,3.708e-08,2.69597e+06
23.879899,-5.83887e-05,8.9407e-11,-653067,0.0999683,3.76332e-08,2.65639e+06
23.989944,-5.87463e-05,6.91414e-11,-849655,0.0999687,3.82972e-08,2.61034e+06
24.099989,-6.14166e-05,9.05991e-11,-677895,0.0999687,3.88169e-08,2.57539e+06
24.210035,-5.94854e-05,7.03335e-11,-845763,0.0999689,3.9041e-08,2.56061e+06
24.320080,-5.79119e-05,9.53674e-11,-607250,0.0999697,3.93593e-08,2.53992e+06
24.430126,5.99975,7.51018e-11,7.98882e+10,0.099968,2.26194e-07,441957
24.540172,5.99954,7.86781e-11,7.62542e+10,0.0999687,2.1414e-07,466837
24.650217,5.99945,7.27177e-11,8.25033e+10,0.0999679,2.08795e-07,478785
24.760263,5.99943,7.27177e-11,8.25031e+10,0.0999657,2.05173e-07,487225
24.870309,-8.54731e-05,5.48363e-11,-1.5587e+06,0.0999663,2.94459e-08,3.39492e+06
24.980354,-6.92129e-05,8.82149e-11,-784595,0.0999667,3.32427e-08,3.00718e+06
25.090400,-6.22749e-05,6.67572e-11,-932857,0.0999686,3.47841e-08,2.87397e+06
25.200446,-6.05345e-05,8.70228e-11,-695616,0.0999677,3.60239e-08,2.77504e+06
25.310492,-5.7435e-05,6.4373e-11,-892222,0.0999675,3.67939e-08,2.71696e+06
25.420537,-5.90324e-05,8.46386e-11,-697465,0.0999675,3.73924e-08,2.67347e+06
25.530583,-5.9247e-05,6.67572e-11,-887500,0.0999678,3.79229e-08,2.63608e+06
25.640629,-5.8794e-05,8.46386e-11,-694648,0.0999667,3.82996e-08,2.61013e+06
25.750675,-6.02722e-05,7.51018e-11,-802540,0.0999676,3.86989e-08,2.58321e+06
25.860720,-6.11782e-05,8.58307e-11,-712778,0.0999693,3.90959e-08,2.55703e+06
25.970766,5.99974,7.27177e-11,8.25073e+10,0.0999633,2.26204e-07,441916
26.080811,5.99953,7.27177e-11,8.25044e+10,0.0999647,2.14175e-07,466743
26.190857,5.99943,7.39098e-11,8.11724e+10,0.0999634,2.08036e-07,480511
26.300902,5.99942,7.62939e-11,7.86356e+10,0.0999641,2.04445e-07,488953
26.410948,-8.37565e-05,5.48363e-11,-1.52739e+06,0.0999652,2.91932e-08,3.42427e+06
26.520993,-6.62327e-05,9.29832e-11,-712308,0.0999657,3.30317e-08,3.02636e+06
26.631039,-5.76019e-05,7.15256e-11,-805333,0.0999649,3.47149e-08,2.87959e+06
26.741084,-5.67675e-05,8.82149e-11,-643514,0.0999632,3.58462e-08,2.78867e+06
26.851130,-5.69582e-05,7.15256e-11,-796333,0.0999644,3.64935e-08,2.73924e+06
26.961175,-5.78165e-05,8.9407e-11,-646667,0.0999632,3.70753e-08,2.69622e+06
27.071221,-5.9104e-05,7.39098e-11,-799677,0.0999615,3.7632e-08,2.65629e+06
